volume,page,table_id,lot_no,qty_or_unit,item,buyer,price
第1733年卷,4,2,84,47,760件，多少不等，同上,Ch. Pike,7½
第1733年卷,4,2,85,48,500件，同上，另一品种,H. Campbell,7½
第1733年卷,4,2,86,48,500件，同上,Dito（同上）,7½
第1733年卷,4,2,87,48,890件，多少不等，同上,Dito（同上）,7½
第1733年卷,4,2,88,49,500件，同上，另一品种,Ch. Pike,7½
第1733年卷,4,2,89,49,500件，同上,Dito（同上）,7½
第1733年卷,4,2,90,49,500件，同上,Dito（同上）,7½
第1733年卷,4,2,91,49,,,
第1733年卷,5,3,93,49,,查尔斯·派克 (Charles Pike),7⅓
第1733年卷,5,3,94,49,,同上 (Dito),7⅓
第1733年卷,5,3,95,49,,约翰·格里尔 (Johan Grill),8
第1733年卷,5,3,96,49,,查·派克 (Ch. Pike),7⅓
第1733年卷,5,3,97,90,,同上 (Dito),7⅓
第1733年卷,5,3,98,94,,查·派克 (Ch. Pike),7⅓
第1733年卷,5,3,99,94,,迪斯特洛中尉 (Lieut. Disterlow),7⅓
第1733年卷,5,3,100,94,,约翰内斯·格里尔 (Johannes Grill),7⅓
第1733年卷,5,3,101,94,,同上 (Dito),7⅓
第1733年卷,5,3,102,94,,埃里克·克里斯托弗森 (Erich Christofferson),7⅓
第1733年卷,5,3,103,94,,查尔斯·派克 (Charles Pike),7⅓
第1733年卷,5,3,104,94,,赫尔姆·B·斯蒂芬斯 (Herm. B. Steffens),7⅓
第1733年卷,5,3,105,94,,亨里希·柯尼希 (Hinrich König),7⅓
第1733年卷,5,3,106,94,,卡斯帕·沃尔法特 (Casper Wolfarth),7⅓
第1733年卷,5,3,107,94,,查尔斯·派克 (Charles Pike),7⅓
第1733年卷,5,3,108,94,,卡尔·胡特曼 (Carl Huttmann),7⅓
第1733年卷,5,3,109,94,,查·派克 (Ch. Pike),7⅓
第1733年卷,5,3,110,95,,C·坎贝尔 (C. Campbell),7⅓
第1733年卷,5,3,111,95,,同上 (Dito),7⅓
第1733年卷,5,3,112,95,,卡尔·胡特曼 (Carl Huttmann),7⅓
第1733年卷,5,3,113,95,,约恩斯·约恩松，洪斯巴卡 (Jöns Jönsson i Höngsbacka),7⅓
第1733年卷,5,3,114,95,,约翰内斯·格里尔 (Johannes Grill),7⅓
第1733年卷,5,3,115,95,,休·坎贝尔 (Hugh Campbell),7⅓
第1733年卷,5,4,116,95,500对茶杯及茶碟，蓝白色,约翰·格里尔 (Johan Grill),7⅓
第1733年卷,5,4,117,95,500件 同上,卡尔·胡特曼 (Carl Huttmann),7⅓
第1733年卷,5,4,118,95,500件 同上,查尔斯·派克 (Charles Pike),7⅓
第1733年卷,5,4,119,95,500件 同上,同上 (Dito),7⅓
第1733年卷,5,4,120,95,500件 同上,同上 (Dito),7⅓
第1733年卷,5,4,121,95,500件 同上,同上 (Dito),7⅓
第1733年卷,5,4,122,95,720件 同上，或多或少,同上 (Dito),7⅓
第1733年卷,5,4,123,96,500件 同上，另一品种,约斯·格里尔 (Joh. Grill),7⅓
第1733年卷,5,4,124,96,450件 同上，或多或少,同上 (Dito),7⅓
第1733年卷,5,4,125,97,,,
第1733年卷,7,5,277,8,,休·坎贝尔 (Hugh Campbell),25½
第1733年卷,7,5,278,8,,同上 (Dito),25½
第1733年卷,7,5,279,8,,约翰内斯·格里尔 (Johannes Grill),25½
第1733年卷,7,5,280,8,,休·坎贝尔 (Hugh Campbell),25½
第1733年卷,7,5,281,8,,同上 (Dito),25½
第1733年卷,7,5,282,8,,同上 (Dito),25½
第1733年卷,7,5,283,8,,同上 (Dito),26
第1733年卷,7,5,284,8,,同上 (Dito),26
第1733年卷,7,5,285,9,,科尔·坎贝尔 (Col. Campbell),26½
第1733年卷,7,5,286,9,,查尔斯·皮克 (Charles Pike),26
第1733年卷,7,5,287,9,,克劳斯·哈比希特 (Claus Habicht),26½
第1733年卷,7,5,288,9,,亨利·柯尼希 (Henr. König),26
第1733年卷,7,5,289,9,,赫尔曼·B·斯蒂芬斯 (Herm. B. Steffens),26
第1733年卷,7,5,290,9,,维兰特·蒂默 (Wyrandt Thime),26
第1733年卷,7,5,291,9,,查尔斯·皮克 (Charles Pike),26
第1733年卷,7,5,292,9,,同上 (Dito),26
第1733年卷,7,5,293,9,,同上 (Dito),26
第1733年卷,7,5,294,9,,同上 (Dito),26
第1733年卷,7,5,295,10,,阿布·戈登 (Ab. Gordon),25½
第1733年卷,7,5,296,10,,古斯特·卡曼 (Gust. Caman),26½
第1733年卷,7,5,297,10,,阿克塞尔·马特·席尔德 (Ax. Math. Schild),25½
第1733年卷,7,5,298,10,,休·坎贝尔 (Hugh Campbell),25
第1733年卷,7,5,299,10,,同上 (Dito),25
第1733年卷,7,5,300,10,,休·坎贝尔 (Hugh Campbell),25
第1733年卷,7,5,301,10,,亨利希·柯尼希 (Henrich König),25
第1733年卷,7,5,302,10,,休·坎贝尔 (Hugh Campbell),25
第1733年卷,7,5,303,10,,同上 (Dito),25
第1733年卷,7,5,304,10,,C·胡特曼 (C. Huttman),25½
第1733年卷,7,5,305,11,,约翰·格里尔 (Joh. Grill),24½
第1733年卷,7,5,306,11,,秘书胡梅尔 (Secret. Hummel),24½
第1733年卷,7,5,307,11,,洛伦茨·巴格 (Lorentz Bagge),24½
第1733年卷,7,5,308,11,,约翰·格里尔 (Joh. Grill),24
第1733年卷,7,5,309,11,,埃里克·克里斯托弗森 (Er. Christophorsen),24
第1733年卷,7,5,310,11,,,
第1733年卷,8,7,1,1,"500对茶杯及茶碟，蓝白色 (500 Paar Thee-Tassen und Schälchens, blau und weiss)",M. 戈登 (M. Gordon),7½
第1733年卷,8,7,2,1,500对，同上 (Dito),亨里希·柯尼希 (Henrich König),8
第1733年卷,8,7,3,1,500对，同上,亚历山大·戈登 (Alexand⁰ Gordon),7½
第1733年卷,8,7,4,1,500对，同上,查尔斯·派克 (Charles Pike),7½
第1733年卷,8,7,5,1,500对，同上,休·罗斯 (Hugh Ross),7½
第1733年卷,8,7,6,1,500对，同上,格奥尔格·胡梅尔 (Geo⁰ Hummel),7½
第1733年卷,8,7,7,1,500对，同上,查尔斯·派克 (Charles Pike),7½
第1733年卷,8,7,8,1,500对，同上,汉斯·利德格伦 (Hans Liedgren),7½
第1733年卷,8,7,9,1,500对，同上,科林·坎贝尔 (Collin Campbell),7½
第1733年卷,8,7,10,1,500对，同上,尼尔斯·舍尔格伦 (Nils Schlgren),7½
第1733年卷,8,7,11,1,500对，同上,查尔斯·派克 (Charles Pike),7½
第1733年卷,8,7,12,1,500对，同上,科林·坎贝尔 (Colin Campbell),7½
第1733年卷,8,7,13,1,500对，同上,查尔斯·派克 (Charles Pike),7½
第1733年卷,8,7,14,1,500对，同上,约翰·格里尔 (Joh. Grill),7½
第1733年卷,8,7,15,1,500对，同上,查尔斯·派克 (Ch⁰ Pike),7½
第1733年卷,8,7,16,1,500对，同上,汉斯·奥尔斯特伦 (Hans Ol. Ström),7½
第1733年卷,8,7,17,1,500对，同上,查尔斯·派克 (Charl⁰ Pike),7½
第1733年卷,8,7,18,1,500对，同上,同上 (Dito),7½
第1733年卷,8,7,19,1,500对，同上,亨里希·柯尼希 (Henrich König),7½
第1733年卷,8,7,20,1,500对，同上,埃里克·克里斯托弗森 (Erick Christophofsen),7½
第1733年卷,8,7,21,1,500对，同上,约翰内斯·格里尔 (Johannes Grill),7½
第1733年卷,8,7,22,1,500对，同上,同上 (Dito),7½
第1733年卷,8,7,23,1,500对，同上,约翰·克里斯蒂安·塞勒 (Joh. Christ⁰ Selle),7½
第1733年卷,8,8,24,1,500对茶杯及茶碟，蓝白色,科内利乌斯·奥尔特格伦 (Cornel⁰ Ortegron),7½
第1733年卷,8,8,25,1,500对，同上,尼尔斯·博格斯特伦 (Nils Borgström),7½
第1733年卷,8,8,26,1,500对，同上,约翰·大卫·哈比希特 (Joh. Dav. Habicht),7½
第1733年卷,8,8,27,1,500对，同上,评议员马特·席尔特 (Assessor Math. Schildt),7½
第1733年卷,8,8,28,1,500对，同上,休·罗斯 (Hugh Ross),7½
第1733年卷,8,8,29,1,500对，同上,尼尔斯·博格斯特伦 (Nils Borgström),7½
第1733年卷,8,8,30,1,500对，同上,查尔斯·派克 (Charl⁰ Pike),7½
第1733年卷,8,8,31,1,500对，同上,亚历山大·戈登 (Alex⁰ Gordon),7½
第1733年卷,8,8,32,1,840对，或多或少 (840 Dito Weniger oder mehr),同上 (Dito),7½
第1733年卷,8,8,33,2,500对，同上,查尔斯·派克 (Charl⁰ Pike),7½
第1733年卷,8,8,34,2,500对，同上,休·坎贝尔 (Hugh Campbell),7½
第1733年卷,8,8,35,2,500对，同上,休·,
第1733年卷,9,9,185,18,,,
第1733年卷,9,9,186,18,,,
第1733年卷,9,9,187,18,,,
第1733年卷,9,9,188,19,,,
第1733年卷,9,9,189,19,,,
第1733年卷,9,9,190,19,,,
第1733年卷,9,9,191,19,,,
第1733年卷,9,9,192,20,,,
第1733年卷,9,9,193,20,,,
第1733年卷,9,9,194,20,,,
第1733年卷,9,9,195,20,,,
第1733年卷,9,9,196,17,,,
第1733年卷,9,9,197,17,,,
第1733年卷,9,9,198,17,,,
第1733年卷,9,9,199,17,,,
第1733年卷,9,9,200,44,,,
第1733年卷,9,9,201,44,,,
第1733年卷,9,9,202,44,,,
第1733年卷,9,9,203,45,,,
第1733年卷,9,9,204,45,,,
第1733年卷,9,9,205,45,,,
第1733年卷,9,9,206,42,,,
第1733年卷,9,9,207,42,,,
第1733年卷,9,10,208,42,,,
第1733年卷,9,10,209,42,,,
第1733年卷,9,10,210,42,,,
第1733年卷,9,10,211,42,,,
第1733年卷,9,10,212,42,,,
第1733年卷,9,10,213,73,,,
第1733年卷,9,10,214,100,,,
第1733年卷,9,10,215,100,,,
第1733年卷,9,10,216,100,,,
第1733年卷,9,10,217,59,,,
第1733年卷,10,11,139,106,500对茶杯及茶碟 (Paar Thee-Tassen und Schälchens)，外棕内蓝白色 (braun von aussen und inwendig blau und weiss),克里斯蒂安·施利希特克鲁尔 (Christian Schlichthrull),10½
第1733年卷,10,11,140,106,500件同上 (Dito),查尔斯·派克 (Charles Pike),10½
第1733年卷,10,11,141,106,605件同上，或多或少 (weniger oder mehr),同上 (Dito),10
第1733年卷,10,11,142,107,500对同上，另一品种 (eine andere Sorte),W·蒂默 (W. Thume),9½
第1733年卷,10,11,143,107,650件同上，或多或少,克里斯蒂安·施利希特克鲁尔 (Chr. Schlichthrull),9½
第1733年卷,10,11,144,23,500对同上，釉彩蓝白色 (geamalyrt und weiss),雅各布·萨茨 (Jacob Satz),16½
第1733年卷,10,11,145,23,500件同上,汉斯·利德格伦 (Hans Liedgren),16½
第1733年卷,10,11,146,23,500件同上,布兰德尔 (Brandell),16½
第1733年卷,10,11,147,23,500件同上，或多或少,N·达尔格伦 (N. Dahlgren),16½
第1733年卷,10,11,148,24,500件同上，另一品种,H·坎贝尔 (H. Campbell),16
第1733年卷,10,11,149,24,500件同上,科林·坎贝尔 (Colin Campbell),15½
第1733年卷,10,11,150,24,500件同上,约翰内斯·格里尔 (Johannes Grill),15½
第1733年卷,10,11,151,24,500件同上,同上 (Dito),15
第1733年卷,10,11,152,24,310件同上，或多或少,H·罗斯 (H. Ross),15
第1733年卷,10,11,153,25,500件同上，另一品种,亨利·柯尼希 (Henr. König),12½
第1733年卷,10,11,154,25,500件同上,尼尔斯·达尔格伦 (Nils Sahlgren),13
第1733年卷,10,11,155,25,500件同上,休·罗斯 (Hugh Ross),12½
第1733年卷,10,11,156,25,300件同上，或多或少,约翰·格里尔 (Joh. Grill),12½
第1733年卷,10,11,157,93,500对咖啡杯及茶碟 (Paar Caffee-Tassen und Schälchens)，蓝白色 (blau und weiss),H·利德格伦 (H. Liedgren),10½
第1733年卷,10,11,158,93,500件同上,雅各布·舒茨 (Jacob Schutz),10½
第1733年卷,10,11,159,93,500件同上,约纳斯·琼森，来自洪斯巴卡 (Jonas Jonson från Kongbacka),10½
第1733年卷,10,11,160,93,500件同上,毛里茨·布兰肖斯特伦 (Mauritz Blanchowström) — 10½ ✓,
第1733年卷,10,11,161,93,500件同上,休·罗斯 (Hugh Ross),10½
第1733年卷,10,11,162,93,500对咖啡杯及茶碟，蓝白色,约翰·格里尔 (Joh. Grill),10½
第1733年卷,10,11,163,93,500件同上,查尔斯·派克 (Ch. Pike),10½
第1733年卷,10,11,164,93,500件同上,约翰·格里尔 (Joh. Grill),10½
第1733年卷,10,11,165,93,500件同上,维纳德·蒂默 (Winand Thume),10½
第1733年卷,10,11,166,93,500件同上,埃里克·克里斯托弗森 (Erich Christoferson),10½
第1733年卷,10,11,167,93,500件同上,查尔斯·派克 (Charles Pike),10
第1733年卷,10,11,168,93,580件同上，或多或少,A·格里尔 (A. Grill),10½
第1733年卷,10,11,169,135,500件同上，外棕内蓝白色 (braun von aussen und inwendig blau und weiss),□斯韦森 (Asfwedson),14
第1733年卷,10,11,170,135,500件同上,克拉斯·哈布里希,
第1733年卷,12,12,323,12,,,
第1733年卷,12,12,324,12,,,
第1733年卷,12,12,325,13,,,
第1733年卷,12,12,326,13,,,
第1733年卷,12,12,327,13,,,
第1733年卷,12,12,328,13,,,
第1733年卷,12,12,329,13,,,
第1733年卷,12,12,330,13,,,
第1733年卷,12,12,331,13,,,
第1733年卷,12,12,332,13,,,
第1733年卷,12,12,333,13,,,
第1733年卷,12,12,334,13,,,
第1733年卷,12,12,335,14,,,
第1733年卷,12,12,336,14,,,
第1733年卷,12,12,337,14,,,
第1733年卷,12,12,338,14,,,
第1733年卷,12,12,339,14,,,
第1733年卷,12,12,340,14,,,
第1733年卷,12,12,341,14,,,
第1733年卷,12,12,342,14,,,
第1733年卷,12,12,343,14,,,
第1733年卷,12,12,344,15,,,
第1733年卷,12,12,345,15,,,
第1733年卷,12,12,346,15,,,
第1733年卷,12,12,347,15,,,
第1733年卷,12,12,348,15,,,
第1733年卷,12,12,349,15,,,
第1733年卷,12,12,350,15,,,
第1733年卷,12,12,351,15,,,
第1733年卷,12,12,352,15,,,
第1733年卷,12,12,353,15,,,
第1733年卷,12,12,354,15,,,
第1733年卷,12,12,355,30,,,
第1733年卷,12,12,356,30,,,
第1733年卷,12,12,357,30,,,
第1733年卷,12,12,358,30,,,
第1733年卷,12,12,359,30,,,
第1733年卷,12,12,360,30,,,
第1733年卷,12,12,361,30,,,
第1733年卷,12,12,362,30,,,
第1733年卷,12,12,363,30,,,
第1733年卷,12,12,364,30,,,
第1733年卷,12,12,365,30,,,
第1733年卷,12,12,366,31,,,
第1733年卷,13,13,231,65,,,
第1733年卷,13,13,232,66,,,
第1733年卷,13,13,233,67,,,
第1733年卷,13,13,234,67,,,
第1733年卷,13,13,235,67,,,
第1733年卷,13,13,236,67,,,
第1733年卷,13,13,237,68,,,
第1733年卷,13,13,238,68,,,
第1733年卷,13,13,239,68,,,
第1733年卷,13,13,240,88,,,
第1733年卷,13,13,241,88,,,
第1733年卷,13,13,242,74,,,
第1733年卷,13,13,243,74,,,
第1733年卷,13,13,244,76,,,
第1733年卷,13,13,245,74½·78,,,
第1733年卷,13,13,246,74½·78,,,
第1733年卷,13,13,247,82,,,
第1733年卷,13,13,248,83,,,
第1733年卷,13,13,249,83,,,
第1733年卷,13,13,250,84,,,
第1733年卷,13,13,251,85,,,
第1733年卷,13,13,252,105,,,
第1733年卷,13,13,253,105,,,
第1733年卷,13,13,254,105,,,
第1733年卷,13,13,255,6,,,
第1733年卷,13,13,256,6,,,
第1733年卷,13,13,257,6,,,
第1733年卷,13,13,258,6,,,
第1733年卷,13,13,259,6,,,
第1733年卷,13,13,260,6,,,
第1733年卷,13,13,261,6,,,
第1733年卷,13,13,262,6,,,
第1733年卷,13,13,263,6,,,
第1733年卷,13,13,264,6,,,
第1733年卷,13,13,265,7,,,
第1733年卷,13,13,266,7,,,
第1733年卷,13,13,267,7,,,
第1733年卷,13,13,268,7,,,
第1733年卷,13,13,269,7,,,
第1733年卷,13,13,270,7,,,
第1733年卷,13,13,271,7,,,
第1733年卷,13,13,272,7,,,
第1733年卷,13,13,273,7,,,
第1733年卷,14,14,369,31,,,
第1733年卷,14,14,370,31,,,
第1733年卷,14,14,371,31,,,
第1733年卷,14,14,372,31,,,
第1733年卷,14,14,373,31,,,
第1733年卷,14,14,374,31,,,
第1733年卷,14,14,375,32,,,
第1733年卷,14,14,376,32,,,
第1733年卷,14,14,377,32,,,
第1733年卷,14,14,378,32,,,
第1733年卷,14,14,379,32,,,
第1733年卷,14,14,380,32,,,
第1733年卷,14,14,381,33,,,
第1733年卷,14,14,382,34,,,
第1733年卷,14,14,383,34,,,
第1733年卷,14,14,384,34,,,
第1733年卷,14,14,385,34,,,
第1733年卷,14,14,386,34,,,
第1733年卷,14,14,387,34,,,
第1733年卷,14,14,388,34,,,
第1733年卷,14,14,389,34,,,
第1733年卷,14,14,390,34,,,
第1733年卷,14,14,391,35,,,
第1733年卷,14,15,392,,,,
第1733年卷,14,15,393,,,,
第1733年卷,14,15,394,,,,
第1733年卷,14,15,395,,,,
第1733年卷,14,15,396,,,,
第1733年卷,14,15,397,,,,
第1733年卷,14,15,398,,,,
第1733年卷,14,15,399,,,,
第1733年卷,14,15,400,,,,
第1733年卷,14,15,401,,,,
第1733年卷,14,15,402,,,,
第1733年卷,14,15,403,,,,
第1733年卷,14,15,404,,,,
第1733年卷,14,15,405,,,,
第1733年卷,17,22,454,69,,,
第1733年卷,17,22,455,69,,,
第1733年卷,17,22,456,69,,,
第1733年卷,17,22,457,69,,,
第1733年卷,17,22,458,69,,,
第1733年卷,17,22,459,69,,,
第1733年卷,17,22,460,69,,,
第1733年卷,17,22,461,69,,,
第1733年卷,17,22,462,69,,,
第1733年卷,17,22,463,69,,,
第1733年卷,17,22,464,69,,,
第1733年卷,17,22,465,69,,,
第1733年卷,17,22,466,69,,,
第1733年卷,17,22,467,69,,,
第1733年卷,17,22,468,69,,,
第1733年卷,17,22,469,69,,,
第1733年卷,17,22,470,69,,,
第1733年卷,17,22,471,69,,,
第1733年卷,17,22,472,69,,,
第1733年卷,17,22,473,69,,,
第1733年卷,17,22,474,69,,,
第1733年卷,17,22,475,69,,,
第1733年卷,21,26,609,113,,格里尔 (Grill),16½
第1733年卷,21,26,610,125,,查尔斯·派克 (Charles Pike),6½
第1733年卷,21,26,611,125,,同上 (Dito),6½
第1733年卷,21,26,612,125,,同上,6½
第1733年卷,21,26,613,125,,同上,7
第1733年卷,21,26,614,125,,约翰内斯·格里尔 (Johannes Grill),7
第1733年卷,21,26,615,125,,查尔斯·派克 (Charles Pike),6½
第1733年卷,21,26,616,125,,休·罗斯 (Hugh Ross),7
第1733年卷,21,26,617,125,,查尔斯·派克 (Charles Pike),7
第1733年卷,21,26,618,125,,同上,7
第1733年卷,21,26,619,125,,同上,7
第1733年卷,21,26,620,126,,同上,7½
第1733年卷,21,26,621,126,,约翰·格里尔 (Joh. Grill),7½
第1733年卷,21,26,622,126,,查尔斯·派克 (Charles Pike),7½
第1733年卷,21,26,623,126,,同上,7½
第1733年卷,21,26,624,126,,同上,7½
第1733年卷,21,26,625,126,,休·罗斯 (Hugh Ross),8
第1733年卷,21,26,626,126,,怀南德·辛 (Wynand Thin),7½
第1733年卷,21,26,627,126,,约翰内斯·格里尔 (Johannes Grill),7½
第1733年卷,21,26,628,126,,同上,7½
第1733年卷,21,26,629,127,,戈登 (Gordon),8½
第1733年卷,21,26,630,127,,同上,10
第1733年卷,21,26,631,127,,同上,10
第1733年卷,21,27,632,129,,弗朗塞尔 (Francell),14
第1733年卷,21,27,633,129,,科林·坎贝尔 (Colin Campbell),14½
第1733年卷,21,27,634,130,,同上,14
第1733年卷,21,27,635,130,,同上,14
第1733年卷,21,27,636,131,,马格努斯·拉格斯特伦 (Magn. Lagerström),6½
第1733年卷,21,27,637,128,,派克 (Pike),4
第1733年卷,21,27,638,128,,同上,4
第1733年卷,21,27,639,128,,同上,4
第1733年卷,21,27,640,128,,同上,4
第1733年卷,21,27,641,128,,同上,4½
第1733年卷,21,27,642,128,,同上,4½
第1733年卷,21,27,643,128,,,
第1733年卷,22,28,490,38,,,128
第1733年卷,22,28,491,38,,,132
第1733年卷,22,28,492,38,,,132
第1733年卷,22,28,493,38,,,133
第1733年卷,22,28,494,38,,,133
第1733年卷,22,28,495,38,,,132
第1733年卷,22,28,496,38,,,134
第1733年卷,22,28,497,38,,,133
第1733年卷,22,28,498,38,,,133
第1733年卷,22,28,499,38,,,133
第1733年卷,22,28,500,39,,,132
第1733年卷,22,28,501,39,,,131
第1733年卷,22,28,502,39,,,131
第1733年卷,22,28,503,39,,,130
第1733年卷,22,28,504,39,,,120
第1733年卷,22,28,505,40,,,130
第1733年卷,22,28,506,40,,,130
第1733年卷,22,28,507,40,,,130
第1733年卷,22,28,508,40,,,130
第1733年卷,22,29,509,3套 碗碟套装，釉彩或多或少如上所述,,,130
第1733年卷,22,29,510,2套 另一品种 同上,,,140
第1733年卷,22,29,511,2套 同上,,,141
第1733年卷,22,29,512,2套 同上,,,140
第1733年卷,22,29,513,2套 同上,,,140
第1733年卷,22,29,514,2套 或多或少 同上,,,140
第1733年卷,22,30,515,5套 如上所述,,,31
第1733年卷,22,30,516,5套 同上,,,30½
第1733年卷,22,30,517,5套 同上,,,28
第1733年卷,24,31,438,,101 — 136件糖罐 (Zucker-Potten) 附盖及彩绘盘 (Tellers geamalyrt)，归 Jacob Schütz — 3,,2
第1733年卷,24,31,439,,101 — 136件同上，或多或少，归 Campbell — 3,,—
第1733年卷,24,32,440,,26 — 5套，蓝白如上所述，归 Com. Ortegren — 12,,12
第1733年卷,24,32,441,,26 — 5套同上，归 Mauritz Minkouström — 12,,11
第1733年卷,24,32,442,,26 — 5套同上，归 Hans Fredgren — 12,,18
第1733年卷,24,32,443,,26 — 5套同上，归 Comit. Ortegren — 12,,20
第1733年卷,24,32,444,,26 — 5套同上，归 Petter Thom□ — 12,,11
第1733年卷,24,32,445,,26 — 5套同上，归 Landskammer Åhman — 12,,11
第1733年卷,24,32,446,,26 — 5套同上，归 Petter Arwedssom — 12,,11
第1733年卷,24,32,447,,26 — 5套同上，归 Fand. Ert. Paulin — 12,,11
第1733年卷,24,32,448,,26 — 5套同上，归 Carl Huttman — 12,,11
第1733年卷,24,32,449,,26 — 5套同上，或多或少，归 N. Ehlgren — 12,,19
第1733年卷,26,33,127,41,,科林·坎贝尔 (Colin Campbell),
第1733年卷,26,33,128,41,,埃里克·克里斯托弗森 (Erich Christofersen),
第1733年卷,26,33,129,40½,,约翰·格里尔 (Johan Grill),
第1733年卷,26,33,130,40,,查尔斯·派克 (Charles Pike),
第1733年卷,26,33,131,40½,,尼尔斯·萨尔格伦 (Nils Sahlgren),
第1733年卷,26,33,132,41½,,同上 (Dito),
第1733年卷,26,33,133,40½,,查尔斯·派克 (Charles Pike),
第1733年卷,26,33,134,40½,,休·罗斯 (Hugh Ross),
第1733年卷,26,33,135,40½,,C·坎贝尔 (C. Campbell),
第1733年卷,26,33,136,41½,,休·罗斯 (Hugh Ross),
第1733年卷,26,33,137,41½,,温·泰姆 (Wyn Thyme),
第1733年卷,26,33,138,41½,,休·罗斯 (Hugh Ross),
第1733年卷,26,33,139,40½,,约·格里尔 (Joh. Grill),
第1733年卷,26,33,140,40,,同上 (Dito),
第1733年卷,26,33,141,40,,查尔斯·派克 (Charles Pike),
第1733年卷,26,33,142,41,,约·格里尔 (Joh. Grill),
第1733年卷,26,33,143,40½,,埃里克·诺彭 (Erich Nopen),
第1733年卷,26,33,144,40½,,约翰·格里尔 (Johan Grill),
第1733年卷,26,33,145,40½,,约·格里尔 (Joh. Grill),
第1733年卷,26,33,146,41,,查尔斯·派克 (Charles Pike),
第1733年卷,26,33,147,40½,,托马斯·豪尔德 (Thomas Howld),
第1733年卷,26,33,148,41,,亨利·柯尼希 (Henr. König),
第1733年卷,26,33,149,41½,,查尔斯·派克 (Charles Pike),
第1733年卷,26,33,150,41,,查尔斯·派克 (Charles Pike),
第1733年卷,26,33,151,42,,C·坎贝尔 (C. Campbell),
第1733年卷,26,33,152,41½,,约·格里尔 (Joh. Grill),
第1733年卷,26,33,153,40½,,查尔斯·派克 (Charles Pike),
第1733年卷,26,33,154,40½,,维南德·泰姆 (Winandt Thyme),
第1733年卷,26,33,155,41½,,尼尔斯·萨尔格伦 (Nils Sahlgren),
第1733年卷,26,33,156,40½,,维南德·泰姆 (Winandt Thyme),
第1733年卷,26,33,157,40½,,查尔斯·派克 (Charles Pike),
第1733年卷,26,33,158,40½,,亨利·柯尼希 (Henr. König),
第1733年卷,26,33,159,40½,,C·坎贝尔 (C. Campbell),
第1733年卷,26,33,160,41,,尼尔斯·萨尔格伦 (Nils Sahlgren),
第1733年卷,26,33,161,41,,休·罗斯 (Hugh Ross),
第1733年卷,26,33,162,40½,,维南德·泰姆 (Winandt Thyme),
第1733年卷,26,33,163,41,,休·罗斯 (Hugh Ross),
第1733年卷,26,33,164,40,,休·坎贝尔 (Hugh Campbell),
第1733年卷,26,33,165,41,,尼尔斯·萨尔格伦 (Nils Sahlgren),
第1733年卷,26,33,166,41,,约·格里尔 (Joh. Grill),
第1733年卷,26,33,167,41,,同上 (Dito),
